Date,future_value
1934-08-01,0.6445255508496021
1935-10-29,0.9386861193954318
1934-04-18,0.7985401264739228
1935-06-03,0.7321167790227289
1935-01-07,0.6693430805810954
1934-05-08,0.7029197261687748
1933-05-09,0.6459854382979322
1933-06-07,0.7642336067733432
1935-07-30,0.8167883019104603
1935-03-27,0.6189780773939436
1933-11-10,0.7240876068907077
1934-11-28,0.696350371873819
1933-03-17,0.4562043859134366
1935-11-06,0.9635036491269251
1935-10-28,0.9211678876830593
1932-12-29,0.5277372350168887
1934-11-08,0.6700730243052604
1934-09-18,0.6678831931327652
1933-07-03,0.8547445402318654
1935-03-07,0.5883212067029244
1932-11-29,0.5014598526426977
1934-04-19,0.7875912490565063
1933-12-21,0.7277372559002682
1933-05-02,0.6131386668231528
1934-07-05,0.7233576631665427
1932-01-25,0.6007299019574062
1934-03-22,0.7751824841907596
1932-02-08,0.6452554945737671
1934-11-05,0.6715328421423257
1935-06-24,0.7503649544592663
1933-10-16,0.6583942031636788
1935-07-16,0.785401487495276
1935-01-16,0.6715328421423257
1933-09-22,0.7094890804637307
1934-04-11,0.8051094807688787
1932-03-18,0.5540146173910798
1934-02-20,0.785401487495276
1934-05-21,0.7175182525957519
1932-11-23,0.4912408841438138
1932-04-28,0.4145985333881035
1932-12-02,0.5167883227938398
1934-03-19,0.7817518384857155
1932-03-24,0.5240875860073283
1935-11-18,0.9620438312898598
1934-05-09,0.6978102593221491
1934-11-09,0.6642336137344697
1935-09-09,0.8496350733852397
1935-06-07,0.7459854313368057
1934-07-12,0.710948898300796
1935-01-14,0.6773722527131164
1933-02-02,0.49343068051067657
1933-04-11,0.5211678807219329
1932-10-21,0.5175182665180048
1934-08-28,0.6722627858664908
1933-07-07,0.8649635435363817
1933-09-15,0.748905136622201
1933-05-31,0.7459854313368057
1934-02-01,0.8394160700807233
1934-10-19,0.6423357892883717
1932-12-13,0.4978102384387697
1934-11-13,0.6671533190198651
1934-09-04,0.6364963787175809
1932-12-07,0.5197080280792351
1935-01-11,0.6700730243052604
1933-04-24,0.615328497995648
1932-08-22,0.6262773754130645
1935-06-05,0.7343066101952241
1934-03-16,0.7686131298958038
1933-11-17,0.7306569611856636
1935-08-13,0.8357664210711628
1935-06-27,0.7642336067733432
1934-10-11,0.659124077276579
1934-08-29,0.6583942031636788
1934-09-27,0.6437956071254369
1934-11-19,0.6948905540367538
1935-10-08,0.8729927156684029
1933-08-11,0.7722627789053642
1934-01-30,0.8627737123638864
1933-01-03,0.5357664419545423
1933-10-25,0.6656934315715348
1934-11-20,0.688321199741798
1932-08-09,0.5605839368804032
1933-01-12,0.5094890595803513
1932-05-31,0.3540145965077003
1935-09-23,0.8459854243756791
1935-04-15,0.689051073854698
1932-06-03,0.3591240981599585
1932-06-21,0.32408759992958125
1934-03-02,0.7832116563227808
1935-09-25,0.8102190172267694
1933-09-21,0.7145985473103564
1933-10-30,0.6897810175788631
1934-01-17,0.8116788350638345
1935-07-31,0.8160584277975601
1935-07-15,0.7861314312194411
1935-05-17,0.7313869049098287
1933-07-11,0.8905109473807752
1932-02-19,0.6051094946911317
1934-03-20,0.7605839577637826
1934-06-19,0.7270073121761031
1935-06-28,0.7737226663536945
1934-07-19,0.6102189615377573
1934-01-23,0.8270073052149767
1932-02-01,0.5562043789523101
1932-02-09,0.6189780773939436
1934-09-06,0.6364963787175809
1932-11-22,0.47810221035953454
1932-10-17,0.4985401473573023
1932-03-29,0.4912408841438138
1933-11-27,0.7445255438884755
1934-08-13,0.6547445541541184
1932-10-31,0.5284671439354214
1932-08-29,0.6503649614203928
1934-02-08,0.8423357753661187
1934-01-22,0.8167883019104603
1932-11-07,0.5423357614438657
1932-07-25,0.4459854174145527
1933-02-17,0.40364965597068697
1935-02-21,0.6416058455642066
1934-05-28,0.7094890804637307
1935-06-12,0.7467153054497059
1932-02-25,0.6357664349934158
1932-04-11,0.4467153263330853
1935-11-22,0.9306569472634106
1935-06-17,0.7642336067733432
1934-02-26,0.8036496629318135
1932-06-28,0.33576642107116283
1933-02-21,0.42116788768305935
1932-01-20,0.5948904913866153
1933-08-02,0.7890511365048365
1932-10-26,0.47591241399267176
1934-04-05,0.8021897754834832
1931-12-30,0.600000027844506
1932-04-18,0.4401460068437619
1935-04-17,0.689051073854698
1934-02-19,0.7890511365048365
1932-01-19,0.6065693821394619
1934-09-10,0.6167883158327133
1934-03-01,0.7883211927806714
1935-04-12,0.6868613122934677
1934-01-29,0.8620438382509863
1934-01-10,0.7781021894761551
1934-08-09,0.6649634878473698
1934-11-14,0.6642336137344697
1932-09-13,0.5562043789523101
1933-03-30,0.4416058594864596
1932-08-15,0.5671532911753591
1935-04-09,0.600000027844506
1934-04-16,0.8094890735026042
1932-03-15,0.5875912629787593
1933-11-13,0.7467153054497059
1934-03-26,0.7912408980660668
1934-05-10,0.7000000208833795
1932-07-08,0.3598540070784911
1934-05-24,0.6846715507322374
1932-04-01,0.45693432963760167
1935-11-26,0.9642335928510901
1933-10-09,0.6941606103125887
1934-05-25,0.6927007228642585
1933-10-17,0.6846715507322374
1935-06-06,0.7386861333176847
1933-11-20,0.7072992492912356
1933-01-24,0.5065693542949559
1933-08-18,0.8233576562054161
1934-10-03,0.6620437825619744
1935-12-16,0.9459854174145527
1935-09-13,0.821897838368351
1934-05-17,0.7000000208833795
1933-08-04,0.7729927226295293
1933-12-08,0.7350364843081243
1934-06-21,0.7284671300131683
1935-05-07,0.7160584347586866
1932-05-18,0.36715330509761207
1933-10-03,0.7467153054497059
1935-10-25,0.9204379439588942
